['83869', '4.439452684989359']
['26011', '4.399836237128787']
['54126', '4.248197286784853']
['68798', '4.129593032916139']
['53188', '4.017431466632283']
['34410', '3.9602845075004622']
['54675', '3.6596042014754113']
['7397', '3.4315707599652496']
['28354', '2.8437504340057673']
['54716', '2.6510531585350106']
['60740', '2.557193327697869']
['45201', '2.463273216305605']
['6158', '2.2838826927008276']
['9382', '2.1186681704471972']
['86201', '2.076499329634786']
['62306', '1.992766415232561']
['38696', '1.8923615109957284']
['85424', '1.7912781701809608']
['41614', '1.706627660458173']
['50474', '1.2097112373944716']
['15462', '0.0']
['19908', '0.0']
['26511', '0.0']
['39258', '0.0']
['39840', '0.0']
['48020', '0.0']
['69372', '0.0']
['8092', '0.0']
