['27441', '10.842285029221202']
['56691', '10.597724902064543']
['64153', '10.577657270915996']
['27911', '9.707979316215997']
['73146', '9.41797287694846']
['34675', '9.278023264376756']
['27845', '8.83583772386716']
['81325', '8.333074032696466']
['27921', '8.104037122570393']
['41481', '8.023546363165684']
['76089', '7.307654722454597']
['76092', '7.307654722454597']
['75754', '7.29947810754688']
['45740', '6.551311069333033']
['59813', '6.156281025086551']
['82440', '6.006493946562209']
['15581', '5.913488353055682']
['15582', '5.913488353055682']
['36398', '5.767197781683692']
['77181', '5.733667712850211']
['77719', '5.733566350914657']
['44101', '5.713965008361729']
['77124', '5.712683644457098']
['29390', '5.681547544501225']
['63648', '5.681097710937374']
['74497', '5.637739873140547']
['17450', '5.622387388653003']
['16007', '5.619556693917239']
['33229', '5.611706752420557']
['74003', '5.54918396431658']
['61777', '5.53622891612954']
['23293', '5.501157828481784']
['29928', '5.422499209020369']
['80840', '5.420613441542109']
['29922', '5.404204569383417']
['27402', '5.311867614768067']
['33285', '5.2001701490235615']
['67613', '5.112508519813157']
['84758', '5.095548068434207']
['49752', '5.086148416712997']
['30473', '4.999963321622548']
['58581', '4.928863240401325']
['66693', '4.922756769081387']
['33736', '4.731648778602851']
['70409', '4.516768653873633']
['24789', '4.399348061862778']
['55718', '4.376626395234123']
['48893', '4.259393577996364']
['10397', '4.005249121245169']
['10398', '4.005249121245169']
['12919', '3.955852401173301']
['13217', '3.955852401173301']
['58800', '3.841327254731948']
['81420', '3.3287902101333446']
['67058', '2.6422282343423853']
['6661', '2.6335897276583724']
['83609', '2.6167754801495766']
['86492', '2.6165223698411784']
['86421', '2.610800945703368']
['64694', '2.241777006907696']
['46876', '0.0']
['63415', '0.0']
