Query,MAP,P@12,DCG@12
R101,0.6647,0.4167,3.2474
R102,0.7555,0.6667,4.1037
R103,0.3814,0.4167,2.6509
R104,0.8121,0.9167,5.5215
R105,0.6050,0.5000,2.9905
R106,0.4566,0.2500,1.7197
R107,0.2683,0.1667,1.0616
R108,0.2056,0.1667,0.9320
R109,0.6574,0.6667,4.4676
R110,0.2905,0.3333,1.5208
R111,1.0000,0.2500,2.6309
R112,0.8825,0.4167,3.5178
R113,0.7045,0.6667,4.3863
R114,0.9667,0.4167,3.5178
R115,0.4907,0.2500,1.5944
R116,0.3293,0.3333,1.9234
R117,0.5278,0.2500,1.6658
R118,0.1768,0.0833,0.4307
R119,0.2312,0.0833,1.0000
R120,0.4939,0.4167,2.8949
R121,0.6067,0.5833,4.1416
R122,0.5066,0.4167,2.1845
R123,0.4439,0.1667,1.2891
R124,0.5206,0.3333,2.5616
R125,0.5867,0.5000,3.4987
R126,0.7141,0.6667,4.1895
R127,0.3146,0.2500,1.1509
R128,0.2153,0.0833,1.0000
R129,0.5447,0.6667,4.1156
R130,0.4429,0.2500,1.7869
R131,0.1470,0.1667,0.5944
R132,0.2339,0.1667,1.4307
R133,0.5936,0.3333,2.5178
R134,0.2227,0.1667,0.9099
R135,0.7518,0.6667,4.4995
R136,0.2324,0.1667,0.8562
R137,0.8056,0.2500,2.1309
R138,0.5137,0.3333,2.4320
R139,0.7436,0.1667,2.0000
R140,0.7097,0.6667,4.3005
R141,0.6254,0.6667,3.9535
R142,0.2306,0.1667,0.9464
R143,0.1035,0.0833,0.2789
R144,0.3462,0.3333,1.9685
R145,0.2521,0.0833,1.0000
R146,0.3362,0.0833,1.0000
R147,0.4162,0.2500,1.8869
R148,0.3230,0.0833,0.2789
R149,0.1968,0.1667,0.6045
R150,0.4016,0.3333,1.7333
Average,0.4796,0.3383,2.2604
