Query,MAP,P@12,DCG@12
R101,0.6826229326229326,0.5,2.930644079277849
R102,0.7651372495497563,0.6666666666666666,3.6299390594329513
R103,0.3811152653512228,0.4166666666666667,2.1665807709250613
R104,0.8826246441120896,1.0,5.092740438166795
R105,0.7770068876986447,0.8333333333333334,3.8225022837394755
R106,0.45948275862068966,0.16666666666666666,1.4306765580733931
R107,0.30158730158730157,0.16666666666666666,0.9306765580733931
R108,0.1922077922077922,0.16666666666666666,0.7201861405678749
R109,0.650934698794271,0.5833333333333334,3.4850344669600535
R110,0.5342857142857143,0.3333333333333333,1.8739897479140213
R111,0.3833333333333333,0.25,1.1737365524159569
R112,0.9444444444444445,0.5,3.2494891145433735
R113,0.7487012987012985,0.6666666666666666,3.8726740779564324
R114,1.0,0.4166666666666667,2.9484591188793923
R115,0.39215686274509803,0.16666666666666666,1.0616063116448506
R116,0.2926341877585018,0.08333333333333333,1.0
R117,0.49074074074074076,0.25,1.571268150091301
R118,0.3041958041958042,0.16666666666666666,0.9098726992225874
R119,0.1374188311688312,0.08333333333333333,0.31546487678572877
R120,0.49333814333814335,0.4166666666666667,2.251146832086206
R121,0.6404336976204273,0.5,3.227402064530522
R122,0.5950696874455119,0.5,2.7229176524944068
R123,0.4909090909090909,0.25,1.5680077719690177
R124,0.5780864197530864,0.3333333333333333,2.2868837451814152
R125,0.6389671152602187,0.5833333333333334,3.371887274194595
R126,0.6486668593912297,0.6666666666666666,3.0715243019349385
R127,0.3227272727272727,0.4166666666666667,1.5963525306015527
R128,0.33774131274131275,0.08333333333333333,1.0
R129,0.580597055433151,0.5833333333333334,3.467610766589043
R130,0.6666666666666666,0.25,1.7868837451814152
R131,0.1704623878536922,0.16666666666666666,0.6343633289973145
R132,0.24859307359307364,0.16666666666666666,1.0177825608059992
R133,0.8099999999999999,0.4166666666666667,2.73752394519728
R134,0.207816091954023,0.16666666666666666,0.7702381544273198
R135,0.464265081896661,0.5,2.084832117432053
R136,0.37311123911930366,0.25,1.626445341535342
R137,1.0,0.25,2.1309297535714578
R138,0.4148759392522304,0.3333333333333333,2.0132981487698833
R139,0.75,0.25,1.9011679079987773
R140,0.823058930316995,0.75,4.1565603097436625
R141,0.7881638590395488,0.8333333333333334,4.507037406953747
R142,0.2599282296650718,0.16666666666666666,0.9098726992225874
R143,0.12358934169278996,0.16666666666666666,0.5491811000784497
R144,0.5868742368742369,0.3333333333333333,2.243059994342564
R145,0.0979388353581902,0.08333333333333333,0.43067655807339306
R146,0.3925986071362947,0.16666666666666666,1.2702381544273198
R147,0.6063492063492063,0.4166666666666667,2.5530747177246145
R148,0.3483293277055984,0.16666666666666666,0.6572371827720034
R149,0.21706349206349204,0.25,0.9055596987675978
R150,0.37797619047619047,0.3333333333333333,1.4356819553004772
Average,0.5074965627910235,0.3633333333333333,2.0614183745115096
